,Sno,MovieName,Director1,Director2,Director3,Duration,Year,Ratings,Metascore
0,1,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140,2023,9.0,86
1,2,The Dark Knight,Christopher Nolan,,,152,2008,9.0,84
2,3,The Lord of the Rings: The Return of the King,Peter Jackson,,,201,2003,9.0,94
3,4,Inception,Christopher Nolan,,,148,2010,8.8,74
4,5,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,,,178,2001,8.8,92
5,6,The Lord of the Rings: The Two Towers,Peter Jackson,,,179,2002,8.8,87
6,7,The Matrix,Lana Wachowski,Lilly Wachowski,,136,1999,8.7,73
7,8,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,,,124,1980,8.7,82
8,9,Soorarai Pottru,Sudha Kongara,,,153,2020,8.7,
9,10,Star Wars: Episode IV - A New Hope,George Lucas,,,121,1977,8.6,90
10,11,Terminator 2: Judgment Day,James Cameron,,,137,1991,8.6,75
11,12,Seven Samurai,Akira Kurosawa,,,207,1954,8.6,98
12,13,Harakiri,Masaki Kobayashi,,,133,1962,8.6,85
13,14,Sita Ramam,Hanu Raghavapudi,,,163,2022,8.6,
14,15,Léon: The Professional,Luc Besson,,,110,1994,8.5,64
15,16,Gladiator,Ridley Scott,,,155,2000,8.5,67
16,17,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117,2018,8.4,87
17,18,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,,,115,1981,8.4,85
18,19,Avengers: Endgame,Anthony Russo,Joe Russo,,181,2019,8.4,78
19,20,Avengers: Infinity War,Anthony Russo,Joe Russo,,149,2018,8.4,68
20,21,Oldboy,Park Chan-wook,,,101,2003,8.4,77
21,22,The Dark Knight Rises,Christopher Nolan,,,164,2012,8.4,78
22,23,Aliens,James Cameron,,,137,1986,8.4,84
23,24,Kaithi,Lokesh Kanagaraj,,,145,2019,8.4,
24,25,Asuran,Vetrimaaran,,,141,2019,8.4,
25,26,Top Gun: Maverick,Joseph Kosinski,,,130,2022,8.3,78
26,27,Heat,Michael Mann,,,170,1995,8.3,76
27,28,North by Northwest,Alfred Hitchcock,,,136,1959,8.3,98
28,29,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,,,131,1983,8.3,58
29,30,Princess Mononoke,Hayao Miyazaki,,,134,1997,8.3,76
30,31,Kantara,Rishab Shetty,,,148,2022,8.3,
31,32,Dangal,Nitesh Tiwari,,,161,2016,8.3,
32,33,Raatchasan,Ram Kumar,,,170,2018,8.3,
33,34,K.G.F: Chapter 2,Prashanth Neel,,,168,2022,8.3,
34,35,Vikram,Lokesh Kanagaraj,,,175,2022,8.3,
35,36,Shershaah,Vishnuvardhan,,,135,2021,8.3,
36,37,Guardians of the Galaxy Vol. 3,James Gunn,,,150,2023,8.2,64
37,38,Spider-Man: No Way Home,Jon Watts,,,148,2021,8.2,71
38,39,Jurassic Park,Steven Spielberg,,,127,1993,8.2,68
39,40,Indiana Jones and the Last Crusade,Steven Spielberg,,,127,1989,8.2,65
40,41,1917,Sam Mendes,,,119,2019,8.2,78
41,42,Batman Begins,Christopher Nolan,,,140,2005,8.2,70
42,43,Kill Bill: Vol. 1,Quentin Tarantino,,,111,2003,8.2,69
43,44,Die Hard,John McTiernan,,,132,1988,8.2,72
44,45,V for Vendetta,James McTeigue,,,132,2005,8.2,62
45,46,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,,,117,2020,8.2,72
46,47,Ran,Akira Kurosawa,,,162,1985,8.2,97
47,48,Gangs of Wasseypur,Anurag Kashyap,,,321,2012,8.2,89
48,49,Vikram Vedha,Gayatri,Pushkar,Gowtham Selvaraj,147,2017,8.2,
49,50,Yojimbo,Akira Kurosawa,,,110,1961,8.2,93
50,51,Uri: The Surgical Strike,Aditya Dhar,,,138,2019,8.2,
51,52,Baahubali 2: The Conclusion,S.S. Rajamouli,,,167,2017,8.2,
52,53,K.G.F: Chapter 1,Prashanth Neel,,,156,2018,8.2,
53,54,Rangasthalam 1985,Sukumar,,,170,2018,8.2,
54,55,Sherlock Jr.,Buster Keaton,,,45,1924,8.2,
55,56,The Mountain II,Alper Caglar,,,135,2016,8.2,
56,57,Paan Singh Tomar,Tigmanshu Dhulia,,,135,2012,8.2,
57,58,Mad Max: Fury Road,George Miller,,,120,2015,8.1,90
58,59,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,,,143,2003,8.1,63
59,60,Blade Runner,Ridley Scott,,,117,1982,8.1,84
60,61,Ford v Ferrari,James Mangold,,,152,2019,8.1,81
61,62,The Terminator,James Cameron,,,107,1984,8.1,84
62,63,Logan,James Mangold,,,137,2017,8.1,77
63,64,How to Train Your Dragon,Dean DeBlois,Chris Sanders,,98,2010,8.1,75
64,65,Rush,Ron Howard,,,123,2013,8.1,74
65,66,"Lock, Stock and Two Smoking Barrels",Guy Ritchie,,,107,1998,8.1,66
66,67,Warrior,Gavin O'Connor,,,140,2011,8.1,71
67,68,The Iron Giant,Brad Bird,,,86,1999,8.1,85
68,69,Neon Genesis Evangelion: The End of Evangelion,Hideaki Anno,Kazuya Tsurumaki,,87,1997,8.1,
69,70,The General,Clyde Bruckman,Buster Keaton,,67,1926,8.1,
70,71,Bajrangi Bhaijaan,Kabir Khan,Mehmet Tutkun,,163,2015,8.1,
71,72,Sholay,Ramesh Sippy,,,162,1975,8.1,
72,73,The Hidden Fortress,Akira Kurosawa,,,126,1958,8.1,89
73,74,White Heat,Raoul Walsh,,,114,1949,8.1,
74,75,A Wednesday,Neeraj Pandey,,,104,2008,8.1,
75,76,Sarfarosh,John Mathew Matthan,,,174,1999,8.1,
76,77,Major,Sashi Kiran Tikka,,,150,2022,8.1,
77,78,Hera Pheri,Priyadarshan,,,156,2000,8.1,
78,79,Thuppakki,A.R. Murugadoss,,,165,2012,8.1,
79,80,Kaththi,A.R. Murugadoss,,,166,2014,8.1,
80,81,John Wick: Chapter 4,Chad Stahelski,,,169,2023,8.0,78
81,82,Guardians of the Galaxy,James Gunn,,,121,2014,8.0,76
82,83,Dune,Denis Villeneuve,,,155,2021,8.0,74
83,84,Blade Runner 2049,Denis Villeneuve,,,164,2017,8.0,81
84,85,Deadpool,Tim Miller,,,108,2016,8.0,65
85,86,The Avengers,Joss Whedon,,,143,2012,8.0,69
86,87,Zack Snyder's Justice League,Zack Snyder,,,242,2021,8.0,54
87,88,The Incredibles,Brad Bird,,,115,2004,8.0,90
88,89,Casino Royale,Martin Campbell,,,144,2006,8.0,80
89,90,The Revenant,Alejandro G. Iñárritu,,,156,2015,8.0,76
90,91,Akira,Katsuhiro Ôtomo,,,124,1988,8.0,67
91,92,Kill Bill: Vol. 2,Quentin Tarantino,,,137,2004,8.0,83
92,93,The Bourne Ultimatum,Paul Greengrass,,,115,2007,8.0,85
93,94,Ip Man,Wilson Yip,,,106,2008,8.0,59
94,95,Infernal Affairs,Andrew Lau,Alan Mak,,101,2002,8.0,75
95,96,Wolfwalkers,Tomm Moore,Ross Stewart,,103,2020,8.0,87
96,97,Baahubali: The Beginning,S.S. Rajamouli,,,159,2015,8.0,
97,98,Elite Squad,José Padilha,,,115,2007,8.0,33
98,99,Sanjuro,Akira Kurosawa,,,96,1962,8.0,
99,100,Haider,Vishal Bhardwaj,,,160,2014,8.0,
100,101,Elite Squad 2: The Enemy Within,José Padilha,,,115,2010,8.0,71
101,102,Tae Guk Gi: The Brotherhood of War,Je-kyu Kang,,,140,2004,8.0,64
102,103,Karthikeya 2,Chandoo Mondeti,,,150,2022,8.0,
103,104,Andaz Apna Apna,Rajkumar Santoshi,,,160,1994,8.0,
104,105,Arjun Reddy,Sandeep Reddy Vanga,,,182,2017,8.0,
105,106,Nefes: Vatan Sagolsun,Levent Semerci,,,128,2009,8.0,
106,107,1: Nenokkadine,Sukumar,,,170,2014,8.0,
107,108,Avatar,James Cameron,,,162,2009,7.9,83
108,109,Iron Man,Jon Favreau,,,126,2008,7.9,79
109,110,Thor: Ragnarok,Taika Waititi,,,130,2017,7.9,74
110,111,Star Trek,J.J. Abrams,,,127,2009,7.9,82
111,112,Edge of Tomorrow,Doug Liman,,,113,2014,7.9,71
112,113,The Bourne Identity,Doug Liman,,,119,2002,7.9,68
113,114,X-Men: Days of Future Past,Bryan Singer,,,132,2014,7.9,75
114,115,Children of Men,Alfonso Cuarón,,,109,2006,7.9,84
115,116,The Blues Brothers,John Landis,,,133,1980,7.9,60
116,117,District 9,Neill Blomkamp,,,112,2009,7.9,81
117,118,"Crouching Tiger, Hidden Dragon",Ang Lee,,,120,2000,7.9,94
118,119,A Fistful of Dollars,Sergio Leone,,,99,1964,7.9,65
119,120,Ghost in the Shell,Mamoru Oshii,,,83,1995,7.9,76
120,121,The Raid 2,Gareth Evans,,,150,2014,7.9,71
121,122,Hero,Yimou Zhang,,,120,2002,7.9,85
122,123,The Wild Bunch,Sam Peckinpah,,,135,1969,7.9,98
123,124,Letters from Iwo Jima,Clint Eastwood,,,141,2006,7.9,89
124,125,A Taxi Driver,Hun Jang,,,137,2017,7.9,69
125,126,The Adventures of Robin Hood,Michael Curtiz,William Keighley,,102,1938,7.9,97
126,127,Baby,Neeraj Pandey,,,159,2015,7.9,
127,128,Airlift,Raja Menon,,,130,2016,7.9,
128,129,Vishwaroopam,Kamal Haasan,,,148,2013,7.9,
129,130,Everything Everywhere All at Once,Daniel Kwan,Daniel Scheinert,,139,2022,7.8,81
130,131,The Batman,Matt Reeves,,,176,2022,7.8,72
131,132,The Gentlemen,Guy Ritchie,,,113,2019,7.8,51
132,133,All Quiet on the Western Front,Edward Berger,,,148,2022,7.8,76
133,134,RRR,S.S. Rajamouli,,,187,2022,7.8,83
134,135,Rogue One: A Star Wars Story,Gareth Edwards,,,133,2016,7.8,65
135,136,Drive,Nicolas Winding Refn,,,100,2011,7.8,78
136,137,Dunkirk,Christopher Nolan,,,106,2017,7.8,94
137,138,Apocalypto,Mel Gibson,,,139,2006,7.8,68
138,139,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,,,138,2015,7.8,80
139,140,Ghostbusters,Ivan Reitman,,,105,1984,7.8,71
140,141,Captain America: Civil War,Anthony Russo,Joe Russo,,147,2016,7.8,75
141,142,Predator,John McTiernan,,,107,1987,7.8,47
142,143,Skyfall,Sam Mendes,,,143,2012,7.8,81
143,144,Hot Fuzz,Edgar Wright,,,121,2007,7.8,81
144,145,Taken,Pierre Morel,,,90,2008,7.8,51
